sym_id,symptom,disease,diagnosis,treatment
1,"A lump on the roof of the mouth, under the tongue, or in the bottom of the mouth",AdenoidCysticCarcinoma,"Biopsy,MRI scan,CT scan,pet-ct scan.","Surgery,External-beam radiation therapy,Neutron and proton radiation therapy,Physical, emotional, and social effects of cancer,Chemotherapy for metastatic AdCC,Targeted therapy for metastatic AdCC"
2,An abnormal area on the lining of the mouth,AdenoidCysticCarcinoma,"Biopsy,MRI scan,CT scan,pet-ct scan.","Surgery,External-beam radiation therapy,Neutron and proton radiation therapy,Physical, emotional, and social effects of cancer,Chemotherapy for metastatic AdCC,Targeted therapy for metastatic AdCC"
3,"Numbness of the upper jaw, palate, face, or tongue",AdenoidCysticCarcinoma,"Biopsy,MRI scan,CT scan,pet-ct scan.","Surgery,External-beam radiation therapy,Neutron and proton radiation therapy,Physical, emotional, and social effects of cancer,Chemotherapy for metastatic AdCC,Targeted therapy for metastatic AdCC"
4,Difficulty swallowing,AdenoidCysticCarcinoma,"Biopsy,MRI scan,CT scan,pet-ct scan.","Surgery,External-beam radiation therapy,Neutron and proton radiation therapy,Physical, emotional, and social effects of cancer,Chemotherapy for metastatic AdCC,Targeted therapy for metastatic AdCC"
5,Hoarseness,AdenoidCysticCarcinoma,"Biopsy,MRI scan,CT scan,pet-ct scan.","Surgery,External-beam radiation therapy,Neutron and proton radiation therapy,Physical, emotional, and social effects of cancer,Chemotherapy for metastatic AdCC,Targeted therapy for metastatic AdCC"
6,Dull pain,AdenoidCysticCarcinoma,"Biopsy,MRI scan,CT scan,pet-ct scan.","Surgery,External-beam radiation therapy,Neutron and proton radiation therapy,Physical, emotional, and social effects of cancer,Chemotherapy for metastatic AdCC,Targeted therapy for metastatic AdCC"
7,A bump or nodule in front of the ear or underneath the jaw,AdenoidCysticCarcinoma,"Biopsy,MRI scan,CT scan,pet-ct scan.","Surgery,External-beam radiation therapy,Neutron and proton radiation therapy,Physical, emotional, and social effects of cancer,Chemotherapy for metastatic AdCC,Targeted therapy for metastatic AdCC"
8,Paralysis of a facial nerve,AdenoidCysticCarcinoma,"Biopsy,MRI scan,CT scan,pet-ct scan.","Surgery,External-beam radiation therapy,Neutron and proton radiation therapy,Physical, emotional, and social effects of cancer,Chemotherapy for metastatic AdCC,Targeted therapy for metastatic AdCC"
9,High blood pressure,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
10,Low potassium level,Adrenal Gland Tumor,"Biopsy,MRI scan,CT scan,pet-ct scan,Adrenal vein sampling,blood and urine tests,migb scan.","Surgery,Hormone therapy,Chemotherapy,Radiation therapy"
